city,town,road,,,
基隆市,仁愛區,復興街,1,4,24
基隆市,仁愛區,港西街,1,4,25
基隆市,仁愛區,華一街,1,4,26
基隆市,仁愛區,華二街,1,4,27
基隆市,仁愛區,華三街,1,4,28
基隆市,仁愛區,華五街,1,4,29
基隆市,仁愛區,華六街,1,4,30
基隆市,仁愛區,華四街,1,4,31
基隆市,仁愛區,愛一路,1,4,32
基隆市,仁愛區,愛七路,1,4,33
基隆市,仁愛區,愛九路,1,4,34
基隆市,仁愛區,愛二路,1,4,35
基隆市,仁愛區,愛三路,1,4,36
基隆市,仁愛區,愛五路,1,4,37
基隆市,仁愛區,愛六路,1,4,38
基隆市,仁愛區,愛四路,1,4,39
基隆市,仁愛區,獅球路,1,4,40
基隆市,仁愛區,精一路,1,4,41
基隆市,仁愛區,劉銘傳路,1,4,42
基隆市,仁愛區,龍安街,1,4,43
基隆市,安樂區,八德路,1,5,1
基隆市,安樂區,安一路,1,5,2
基隆市,安樂區,安和一街,1,5,3
基隆市,安樂區,安和二街,1,5,4
基隆市,安樂區,安樂路一段,1,5,5
基隆市,安樂區,安樂路二段,1,5,6
基隆市,安樂區,定國街,1,5,7
基隆市,安樂區,武訓街,1,5,8
基隆市,安樂區,武崙街,1,5,9
基隆市,安樂區,武隆街,1,5,10
基隆市,安樂區,武聖街,1,5,11
基隆市,安樂區,武嶺街,1,5,12
基隆市,安樂區,基金一路,1,5,13
基隆市,安樂區,基金二路,1,5,14
基隆市,安樂區,基金三路,1,5,15
基隆市,安樂區,崇德路,1,5,16
基隆市,安樂區,麥金路,1,5,17
基隆市,安樂區,湖海路二段,1,5,18
基隆市,安樂區,新西街,1,5,19
基隆市,安樂區,樂一路,1,5,20
基隆市,安樂區,樂利二街,1,5,21
基隆市,安樂區,樂利三街,1,5,22
基隆市,信義區,中興路,1,6,1
基隆市,信義區,仁一路,1,6,2
基隆市,信義區,六和街,1,6,3
基隆市,信義區,月眉路,1,6,4
基隆市,信義區,正信路,1,6,5
基隆市,信義區,孝東路,1,6,6
基隆市,信義區,東光路,1,6,7
基隆市,信義區,東明路,1,6,8
基隆市,信義區,東信路,1,6,9
基隆市,信義區,東美一街,1,6,10
基隆市,信義區,東美二街,1,6,11
基隆市,信義區,東峰街,1,6,12
基隆市,信義區,花源一街,1,6,13
基隆市,信義區,花源七街,1,6,14
基隆市,信義區,花源九街,1,6,15
基隆市,信義區,花源三街,1,6,16
基隆市,信義區,花源五街,1,6,17
基隆市,信義區,信一路,1,6,18
基隆市,信義區,信二路,1,6,19
基隆市,信義區,培德路,1,6,20
基隆市,信義區,崇法街,1,6,21
基隆市,信義區,教孝街,1,6,22
基隆市,信義區,教忠街,1,6,23
基隆市,信義區,深美街,1,6,24
基隆市,信義區,深溪路,1,6,25
基隆市,信義區,深澳坑路,1,6,26
基隆市,信義區,義七路,1,6,27
基隆市,信義區,義九路,1,6,28
基隆市,信義區,義三路,1,6,29
基隆市,信義區,義五路,1,6,30
基隆市,信義區,義六路,1,6,31
基隆市,信義區,義四路,1,6,32
基隆市,信義區,壽山路,1,6,33
基隆市,信義區,槓子寮路,1,6,34
基隆市,信義區,福民街,1,6,35
基隆市,暖暖區,八堵路,1,7,1
基隆市,暖暖區,水源路,1,7,2
基隆市,暖暖區,尚仁街,1,7,3
基隆市,暖暖區,東勢街,1,7,4
基隆市,暖暖區,東碇路,1,7,5
基隆市,暖暖區,金山街,1,7,6
基隆市,暖暖區,金華街,1,7,7
基隆市,暖暖區,國安路,1,7,8
基隆市,暖暖區,暖中路,1,7,9
基隆市,暖暖區,暖暖街,1,7,10
基隆市,暖暖區,暖碇路,1,7,11
基隆市,暖暖區,源遠路,1,7,12
基隆市,暖暖區,過港路,1,7,13
基隆市,暖暖區,寧靜街,1,7,14
基隆市,暖暖區,興隆街,1,7,15
基隆市,暖暖區,碇內街,1,7,16
臺北市,士林區,力行街,2,1,1
臺北市,士林區,下樹林街,2,1,2
臺北市,士林區,士東路,2,1,3
臺北市,士林區,士商路,2,1,4
臺北市,士林區,大北路,2,1,5
臺北市,士林區,大光街,2,1,6
臺北市,士林區,大西路,2,1,7
臺北市,士林區,大亨路,2,1,8
臺北市,士林區,大東路,2,1,9
臺北市,士林區,大南路,2,1,10
臺北市,士林區,小北街,2,1,11
臺北市,士林區,小西街,2,1,12
臺北市,士林區,小東街,2,1,13
臺北市,士林區,小南街,2,1,14
臺北市,士林區,中山北路七段,2,1,15
臺北市,士林區,中山北路五段,2,1,16
臺北市,士林區,中山北路六段,2,1,17
臺北市,士林區,中山北路四段,2,1,18
臺北市,士林區,中正路,2,1,19
臺北市,士林區,中社路一段,2,1,20
臺北市,士林區,中社路二段,2,1,21
臺北市,士林區,中庸一路,2,1,22
臺北市,士林區,中庸二路,2,1,23
臺北市,士林區,中庸五路,2,1,24
臺北市,士林區,中華路,2,1,25
臺北市,士林區,中興街,2,1,26
臺北市,士林區,仁民路,2,1,27
臺北市,士林區,天母北路,2,1,28
臺北市,士林區,天母西路,2,1,29
臺北市,士林區,天母東路,2,1,30
臺北市,士林區,天玉街,2,1,31
臺北市,士林區,文昌路,2,1,32
臺北市,士林區,文林路,2,1,33
臺北市,士林區,平菁街,2,1,34
臺北市,士林區,永公路,2,1,35
臺北市,士林區,永平街,2,1,36
臺北市,士林區,仰德大道一段,2,1,37
臺北市,士林區,仰德大道二段,2,1,38
臺北市,士林區,仰德大道三段,2,1,39
臺北市,士林區,仰德大道四段,2,1,40
臺北市,士林區,光華路,2,1,41
臺北市,士林區,安平街,2,1,42
臺北市,士林區,竹子湖路,2,1,43
臺北市,士林區,自祥街,2,1,44
臺北市,士林區,至善路一段,2,1,45
臺北市,士林區,至善路二段,2,1,46
臺北市,士林區,至善路三段,2,1,47
臺北市,士林區,至誠路一段,2,1,48
臺北市,士林區,至誠路二段,2,1,49
臺北市,士林區,克強路,2,1,50
臺北市,士林區,志成街,2,1,51
臺北市,士林區,和平路,2,1,52
臺北市,士林區,和豐街,2,1,53
臺北市,士林區,幸福街,2,1,54
臺北市,士林區,延平北路七段,2,1,55
臺北市,士林區,延平北路九段,2,1,56
臺北市,士林區,延平北路八段,2,1,57
臺北市,士林區,延平北路五段,2,1,58
臺北市,士林區,延平北路六段,2,1,59
臺北市,士林區,忠勇街,2,1,60
臺北市,士林區,忠義街,2,1,61
臺北市,士林區,忠誠路一段,2,1,62
臺北市,士林區,忠誠路二段,2,1,63
臺北市,士林區,承德路五段,2,1,64
臺北市,士林區,承德路四段,2,1,65
臺北市,士林區,明溪街,2,1,66
臺北市,士林區,東山路,2,1,67
臺北市,士林區,社子街,2,1,68
臺北市,士林區,社中街,2,1,69
臺北市,士林區,社正路,2,1,70
臺北市,士林區,芝玉路一段,2,1,71
臺北市,士林區,芝玉路二段,2,1,72
臺北市,士林區,長春街,2,1,73
臺北市,士林區,雨農路,2,1,74
臺北市,士林區,雨聲街,2,1,75
臺北市,士林區,前港街,2,1,76
臺北市,士林區,前街,2,1,77
臺北市,士林區,建業路,2,1,78
臺北市,士林區,後港街,2,1,79
臺北市,士林區,後街,2,1,80
臺北市,士林區,故宮路,2,1,81
臺北市,士林區,美崙街,2,1,82
臺北市,士林區,美德街,2,1,83
臺北市,士林區,重慶北路四段,2,1,84
臺北市,士林區,倫等街,2,1,85
臺北市,士林區,格致路,2,1,86
臺北市,士林區,國泰街,2,1,87
臺北市,士林區,基河路,2,1,88
臺北市,士林區,莊頂路,2,1,89
臺北市,士林區,通河西街一段,2,1,90
臺北市,士林區,通河西街二段,2,1,91
臺北市,士林區,通河東街一段,2,1,92
臺北市,士林區,通河東街二段,2,1,93
臺北市,士林區,通河街,2,1,94
臺北市,士林區,凱旋路,2,1,95
臺北市,士林區,菁山路,2,1,96
臺北市,士林區,華光街,2,1,97
臺北市,士林區,華岡路,2,1,98
臺北市,士林區,華榮街,2,1,99
臺北市,士林區,華興街,2,1,100
臺北市,士林區,華聲街,2,1,101
臺北市,士林區,華齡街,2,1,102
臺北市,士林區,貴富街,2,1,103
臺北市,士林區,陽明路一段,2,1,104
臺北市,士林區,愛富一街,2,1,105
臺北市,士林區,愛富二街,2,1,106
臺北市,士林區,愛富三街,2,1,107
臺北市,士林區,新安路,2,1,108
臺北市,士林區,新園街,2,1,109
臺北市,士林區,葫東街,2,1,110
臺北市,士林區,葫蘆街,2,1,111
臺北市,士林區,福志路,2,1,112
臺北市,士林區,福林路,2,1,113
臺北市,士林區,福國路,2,1,114
臺北市,士林區,福港街,2,1,115
臺北市,士林區,福華路,2,1,116
臺北市,士林區,福壽街,2,1,117
臺北市,士林區,福榮街,2,1,118
臺北市,士林區,福德路,2,1,119
臺北市,士林區,翠山街,2,1,120
臺北市,士林區,劍南路,2,1,121
臺北市,士林區,劍潭路,2,1,122
臺北市,士林區,德行西路,2,1,123
臺北市,士林區,德行東路,2,1,124
臺北市,士林區,環河北路三段,2,1,125
臺北市,士林區,磺溪街,2,1,126
臺北市,士林區,臨溪路,2,1,127
臺北市,士林區,雙溪街,2,1,128
臺北市,大同區,大龍街,2,2,1
臺北市,大同區,五原路,2,2,2
臺北市,大同區,天水路,2,2,3
臺北市,大同區,太原路,2,2,4
臺北市,大同區,市民大道一段,2,2,5
臺北市,大同區,平陽街,2,2,6
臺北市,大同區,民生西路,2,2,7
臺北市,大同區,民族西路,2,2,8
臺北市,大同區,民樂街,2,2,9
臺北市,大同區,民權西路,2,2,10
臺北市,大同區,永昌街,2,2,11
臺北市,大同區,甘州街,2,2,12
臺北市,大同區,甘谷街,2,2,13
臺北市,大同區,伊寧街,2,2,14
臺北市,大同區,安西街,2,2,15
臺北市,大同區,西寧北路,2,2,16
臺北市,大同區,赤峰街,2,2,17
臺北市,大同區,赤峯街,2,2,18
臺北市,大同區,延平北路,2,2,19
臺北市,大同區,延平北路一段,2,2,20
臺北市,大同區,延平北路二段,2,2,21
臺北市,大同區,延平北路三段,2,2,22
臺北市,大同區,延平北路四段,2,2,23
臺北市,大同區,忠孝西路二段,2,2,24
臺北市,大同區,承德路一段,2,2,25
臺北市,大同區,承德路二段,2,2,26
臺北市,大同區,承德路三段,2,2,27
臺北市,大同區,昌吉街,2,2,28
臺北市,大同區,長安西路,2,2,29
臺北市,大同區,保安街,2,2,30
臺北市,大同區,南京西路,2,2,31
臺北市,大同區,哈密街,2,2,32
臺北市,大同區,迪化街一段,2,2,33
臺北市,大同區,迪化街二段,2,2,34
臺北市,大同區,重慶北路一段,2,2,35
臺北市,大同區,重慶北路二段,2,2,36
臺北市,大同區,重慶北路三段,2,2,37
臺北市,大同區,庫倫街,2,2,38
臺北市,大同區,酒泉街,2,2,39
臺北市,大同區,涼州街,2,2,40
臺北市,大同區,通河西街一段,2,2,41
臺北市,大同區,敦煌路,2,2,42
臺北市,大同區,景化街,2,2,43
臺北市,大同區,華亭街,2,2,44
臺北市,大同區,華陰街,2,2,45
臺北市,大同區,貴德街,2,2,46
臺北市,大同區,塔城街,2,2,47
臺北市,大同區,萬全街,2,2,48
臺北市,大同區,寧夏路,2,2,49
臺北市,大同區,撫順街,2,2,50
臺北市,大同區,鄭州路,2,2,51
臺北市,大同區,興城街,2,2,52
臺北市,大同區,錦西街,2,2,53
臺北市,大同區,環河北路一段,2,2,54
臺北市,大同區,環河北路二段,2,2,55
臺北市,大同區,歸綏街,2,2,56
臺北市,大同區,雙連街,2,2,57
臺北市,大同區,蘭州街,2,2,58
臺北市,大安區,八德路二段,2,3,1
臺北市,大安區,大安路一段,2,3,2
臺北市,大安區,大安路二段,2,3,3
臺北市,大安區,仁愛路三段,2,3,4
臺北市,大安區,仁愛路四段,2,3,5
臺北市,大安區,文昌街,2,3,6
臺北市,大安區,四維路,2,3,7
臺北市,大安區,市民大道三段,2,3,8
臺北市,大安區,市民大道四段,2,3,9
臺北市,大安區,永康街,2,3,10
臺北市,大安區,光復南路,2,3,11
臺北市,大安區,安和路一段,2,3,12
臺北市,大安區,安和路二段,2,3,13
臺北市,大安區,安居街,2,3,14
臺北市,大安區,安東街,2,3,15
臺北市,大安區,辛亥路一段,2,3,16
臺北市,大安區,辛亥路二段,2,3,17
臺北市,大安區,辛亥路三段,2,3,18
臺北市,大安區,和平東路一段,2,3,19
臺北市,大安區,和平東路二段,2,3,20
臺北市,大安區,和平東路三段,2,3,21
臺北市,大安區,延吉街,2,3,22
臺北市,大安區,忠孝東路三段,2,3,23
臺北市,大安區,忠孝東路四段,2,3,24
臺北市,大安區,杭州南路二段,2,3,25
臺北市,大安區,東豐街,2,3,26
臺北市,大安區,臥龍街,2,3,27
臺北市,大安區,芳蘭路,2,3,28
臺北市,大安區,金山南路二段,2,3,29
臺北市,大安區,金華街,2,3,30
臺北市,大安區,長興街,2,3,31
臺北市,大安區,青田街,2,3,32
臺北市,大安區,信義路二段,2,3,33
臺北市,大安區,信義路三段,2,3,34
臺北市,大安區,信義路四段,2,3,35
臺北市,大安區,建國南路一段,2,3,36
臺北市,大安區,建國南路二段,2,3,37
臺北市,大安區,師大路,2,3,38
臺北市,大安區,泰順街,2,3,39
臺北市,大安區,浦城街,2,3,40
臺北市,大安區,基隆路二段,2,3,41
臺北市,大安區,基隆路三段,2,3,42
臺北市,大安區,基隆路四段,2,3,43
臺北市,大安區,通化街,2,3,44
臺北市,大安區,通安街,2,3,45
臺北市,大安區,富陽街,2,3,46
臺北市,大安區,復興南路一段,2,3,47
臺北市,大安區,復興南路二段,2,3,48
臺北市,大安區,敦化南路一段,2,3,49
臺北市,大安區,敦化南路二段,2,3,50
臺北市,大安區,敦南街,2,3,51
臺北市,大安區,雲和街,2,3,52
臺北市,大安區,愛國東路,2,3,53
臺北市,大安區,新生北路一段,2,3,54
臺北市,大安區,新生南路一段,2,3,55
臺北市,大安區,新生南路二段,2,3,56
臺北市,大安區,新生南路三段,2,3,57
臺北市,大安區,溫州街,2,3,58
臺北市,大安區,瑞安街,2,3,59
臺北市,大安區,嘉興街,2,3,60
臺北市,大安區,樂利路,2,3,61
臺北市,大安區,樂業街,2,3,62
臺北市,大安區,潮州街,2,3,63
臺北市,大安區,龍泉街,2,3,64
臺北市,大安區,濟南路三段,2,3,65
臺北市,大安區,臨江街,2,3,66
臺北市,大安區,羅斯福路二段,2,3,67
臺北市,大安區,羅斯福路三段,2,3,68
臺北市,大安區,羅斯福路四段,2,3,69
臺北市,大安區,麗水街,2,3,70
臺北市,中山區,一江街,2,4,1
臺北市,中山區,八德路二段,2,4,2
臺北市,中山區,大直街,2,4,3
臺北市,中山區,中山北路一段,2,4,4
臺北市,中山區,中山北路二段,2,4,5
臺北市,中山區,中山北路三段,2,4,6
臺北市,中山區,中山北路四段,2,4,7
臺北市,中山區,中原街,2,4,8
臺北市,中山區,五常街,2,4,9
臺北市,中山區,天津街,2,4,10
臺北市,中山區,天祥路,2,4,11
臺北市,中山區,北安路,2,4,12
臺北市,中山區,四平街,2,4,13
臺北市,中山區,市民大道二段,2,4,14
臺北市,中山區,市民大道三段,2,4,15
臺北市,中山區,民生西路,2,4,16
臺北市,中山區,民生東路一段,2,4,17
臺北市,中山區,民生東路二段,2,4,18
臺北市,中山區,民生東路三段,2,4,19
臺北市,中山區,民族西路,2,4,20
臺北市,中山區,民族東路,2,4,21
臺北市,中山區,民權西路,2,4,22
臺北市,中山區,民權東路一段,2,4,23
臺北市,中山區,民權東路二段,2,4,24
臺北市,中山區,民權東路三段,2,4,25
臺北市,中山區,玉門街,2,4,26
臺北市,中山區,伊通街,2,4,27
臺北市,中山區,吉林路,2,4,28
臺北市,中山區,合江街,2,4,29
臺北市,中山區,安東街,2,4,30
臺北市,中山區,朱崙街,2,4,31
臺北市,中山區,明水路,2,4,32
臺北市,中山區,林森北路,2,4,33
臺北市,中山區,松江路,2,4,34
臺北市,中山區,長安西路,2,4,35
臺北市,中山區,長安東路一段,2,4,36
臺北市,中山區,長安東路二段,2,4,37
臺北市,中山區,長春路,2,4,38
臺北市,中山區,南京西路,2,4,39
臺北市,中山區,南京東路一段,2,4,40
臺北市,中山區,南京東路二段,2,4,41
臺北市,中山區,南京東路三段,2,4,42
臺北市,中山區,建國北路一段,2,4,43
臺北市,中山區,建國北路二段,2,4,44
臺北市,中山區,建國北路三段,2,4,45
臺北市,中山區,建國南路一段,2,4,46
臺北市,中山區,基湖路,2,4,47
臺北市,中山區,崇實路,2,4,48
臺北市,中山區,通北街,2,4,49
臺北市,中山區,堤頂大道二段,2,4,50
臺北市,中山區,復興北路,2,4,51
臺北市,中山區,復興南路一段,2,4,52
臺北市,中山區,植福路,2,4,53
臺北市,中山區,渭水路,2,4,54
臺北市,中山區,華陰街,2,4,55
臺北市,中山區,敬業一路,2,4,56
臺北市,中山區,敬業二路,2,4,57
臺北市,中山區,敬業三路,2,4,58
臺北市,中山區,敬業四路,2,4,59
臺北市,中山區,新生北路一段,2,4,60
臺北市,中山區,新生北路二段,2,4,61
臺北市,中山區,新生北路三段,2,4,62
臺北市,中山區,農安街,2,4,63
臺北市,中山區,劍南路,2,4,64
臺北市,中山區,德惠街,2,4,65
臺北市,中山區,撫順街,2,4,66
臺北市,中山區,樂群二路,2,4,67
臺北市,中山區,樂群三路,2,4,68
臺北市,中山區,興安街,2,4,69
臺北市,中山區,遼寧街,2,4,70
臺北市,中山區,錦州街,2,4,71
臺北市,中山區,錦西街,2,4,72
臺北市,中山區,龍江路,2,4,73
臺北市,中山區,濱江街,2,4,74
臺北市,中山區,雙城街,2,4,75
臺北市,中正區,?門街,2,5,1
臺北市,中正區,八德路一段,2,5,2
臺北市,中正區,三元街,2,5,3
臺北市,中正區,大埔街,2,5,4
臺北市,中正區,中山北路一段,2,5,5
臺北市,中正區,中山南路,2,5,6
臺北市,中正區,中華路一段,2,5,7
臺北市,中正區,中華路二段,2,5,8
臺北市,中正區,丹陽街,2,5,9
臺北市,中正區,仁愛路一段,2,5,10
臺北市,中正區,仁愛路二段,2,5,11
臺北市,中正區,公園路,2,5,12
臺北市,中正區,天津街,2,5,13
臺北市,中正區,水源路,2,5,14
臺北市,中正區,北平西路,2,5,15
臺北市,中正區,北平東路,2,5,16
臺北市,中正區,市民大道一段,2,5,17
臺北市,中正區,市民大道三段,2,5,18
臺北市,中正區,永春街,2,5,19
臺北市,中正區,永綏街,2,5,20
臺北市,中正區,汀州路一段,2,5,21
臺北市,中正區,汀州路二段,2,5,22
臺北市,中正區,汀州路三段,2,5,23
臺北市,中正區,同安街,2,5,24
臺北市,中正區,西藏路,2,5,25
臺北市,中正區,沅陵街,2,5,26
臺北市,中正區,秀山街,2,5,27
臺北市,中正區,辛亥路一段,2,5,28
臺北市,中正區,酉陽街,2,5,29
臺北市,中正區,和平西路一段,2,5,30
臺北市,中正區,和平西路二段,2,5,31
臺北市,中正區,延平南路,2,5,32
臺北市,中正區,忠孝西路一段,2,5,33
臺北市,中正區,忠孝西路一段50之1號地下街,2,5,34
臺北市,中正區,忠孝東路一段,2,5,35
臺北市,中正區,忠孝東路二段,2,5,36
臺北市,中正區,杭州北路,2,5,37
臺北市,中正區,杭州南路一段,2,5,38
臺北市,中正區,杭州南路二段,2,5,39
臺北市,中正區,林森北路,2,5,40
臺北市,中正區,林森南路,2,5,41
臺北市,中正區,武昌街一段,2,5,42
臺北市,中正區,金山北路,2,5,43
臺北市,中正區,金山南路一段,2,5,44
臺北市,中正區,金門街,2,5,45
臺北市,中正區,金華街,2,5,46
臺北市,中正區,長沙街一段,2,5,47
臺北市,中正區,青島西路,2,5,48
臺北市,中正區,青島東路,2,5,49
臺北市,中正區,信陽街,2,5,50
臺北市,中正區,信義路一段,2,5,51
臺北市,中正區,信義路二段,2,5,52
臺北市,中正區,南昌路一段,2,5,53
臺北市,中正區,南昌路二段,2,5,54
臺北市,中正區,南海路,2,5,55
臺北市,中正區,南陽街,2,5,56
臺北市,中正區,思源街,2,5,57
臺北市,中正區,泉州街,2,5,58
臺北市,中正區,牯嶺街,2,5,59
臺北市,中正區,重慶南路一段,2,5,60
臺北市,中正區,重慶南路二段,2,5,61
臺北市,中正區,重慶南路三段,2,5,62
臺北市,中正區,師大路,2,5,63
臺北市,中正區,徐州路,2,5,64
臺北市,中正區,晉江街,2,5,65
臺北市,中正區,桃源街,2,5,66
臺北市,中正區,泰安街,2,5,67
臺北市,中正區,常德街,2,5,68
臺北市,中正區,紹興北街,2,5,69
臺北市,中正區,紹興南街,2,5,70
臺北市,中正區,莒光路,2,5,71
臺北市,中正區,許昌街,2,5,72
臺北市,中正區,連雲街,2,5,73
臺北市,中正區,凱達格蘭大道,2,5,74
臺北市,中正區,博愛路,2,5,75
臺北市,中正區,惠安街,2,5,76
臺北市,中正區,湖口街,2,5,77
臺北市,中正區,詔安街,2,5,78
臺北市,中正區,貴陽街一段,2,5,79
臺北市,中正區,開封街一段,2,5,80
臺北市,中正區,愛國西路,2,5,81
臺北市,中正區,愛國東路,2,5,82
臺北市,中正區,新生南路一段,2,5,83
臺北市,中正區,寧波西街,2,5,84
臺北市,中正區,寧波東街,2,5,85
臺北市,中正區,漢口街一段,2,5,86
臺北市,中正區,福州街,2,5,87
臺北市,中正區,銅山街,2,5,88
臺北市,中正區,齊東街,2,5,89
臺北市,中正區,廣州街,2,5,90
臺北市,中正區,潮州街,2,5,91
臺北市,中正區,鄭州路,2,5,92
臺北市,中正區,衡陽路,2,5,93
臺北市,中正區,館前路,2,5,94
臺北市,中正區,濟南路一段,2,5,95
臺北市,中正區,濟南路二段,2,5,96
臺北市,中正區,臨沂街,2,5,97
臺北市,中正區,襄陽路,2,5,98
臺北市,中正區,鎮江街,2,5,99
臺北市,中正區,懷寧街,2,5,100
臺北市,中正區,羅斯福路一段,2,5,101
臺北市,中正區,羅斯福路二段,2,5,102
臺北市,中正區,羅斯福路三段,2,5,103
臺北市,中正區,羅斯福路四段,2,5,104
